term,estimate,std.error,statistic,p.value,conf.low,conf.high
age,1.009,0.007726507332945959,1.1337674797676993,0.257,0.994,1.024
stage_groupStage II,2.282,0.18648440988325163,4.423420890485354,9.72e-6,1.583,3.288
stage_groupStage III,3.228,0.19569689729675102,5.988597464649929,2.12e-9,2.2,4.737
stage_groupStage IV,3.71,0.2816932008368892,4.654445361750597,3.25e-6,2.136,6.445
